id,tweet,label
2.64184E+17,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :),1
2.64249E+17,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out),-1
2.64106E+17,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.,1
2.64095E+17,"Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.",-1
2.54942E+17,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll",-1
2.64169E+17,"Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched",0
2.63192E+17,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG",0
2.63399E+17,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;),1
2.602E+17,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics,0
2.64088E+17,@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked,1
2.50693E+17,@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys,0
2.63305E+17,"#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://t.co/9wWvxEbf",0
2.63957E+17,Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116,1
2.63975E+17,"Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)",0
2.57344E+17,One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!,1
2.64126E+17,"AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.",-1
